token,score,source,playwright_reqd
15five,3,lever,True
aeva,2,lever,True
agicap,3,lever,True
airslate,3,lever,True
ajax,3,lever,True
aledade,2,lever,True
aleph,1,lever,True
alloy,3,lever,True
alluxio,5,lever,False
anchorage,3,lever,True
anomali,5,lever,False
anybotics,3,lever,True
anyscale,3,lever,True
applydigital,2,lever,True
arbitalhealth,3,lever,True
artera,3,lever,True
atomcomputing,2,lever,True
belong,5,lever,False
belvederetrading,3,lever,True
bloom,2,lever,True
brilliant,3,lever,True
contentsquare,2,lever,True
cred,3,lever,True
cx2,2,lever,True
cyngn,3,lever,True
dexterity,4,lever,False
drivetrain,4,lever,False
dronedeploy,3,lever,True
everlywell,2,lever,True
factor,5,lever,False
farfetch,1,lever,True
finch,2,lever,True
finix,3,lever,True
form,3,lever,True
evr,4,lever,False
glide,2,lever,True
gopuff,5,lever,False
grailbio,2,lever,True
grand,3,lever,True
gravisrobotics,4,lever,False
greenlight,3,lever,True
hive,4,lever,False
jobandtalent,4,lever,False
kavak,1,lever,True
kepler,3,lever,True
keyloop,3,lever,True
kiddom,2,lever,True
kpmgnz,1,lever,True
kraken123,4,lever,False
lasenza,3,lever,True
loadsmart,3,lever,True
marqvision,3,lever,True
metabase,4,lever,False
mistral,5,lever,False
neighbor,3,lever,True
Nomagic,3,lever,True
octoenergy,1,lever,True
onit,2,lever,True
osaro,5,lever,False
outreach,5,lever,False
paytm,5,lever,False
pigment,4,lever,False
pipedrive,2,lever,True
pivotal,3,lever,True
plexus,1,lever,True
protolabs,1,lever,True
q-ctrl,3,lever,True
qonto,5,lever,False
rai,4,lever,False
regrello,2,lever,True
relay,2,lever,True
rigetti,1,lever,True
ro,2,lever,True
rover,2,lever,True
safe,3,lever,True
sandboxvr,1,lever,True
saviynt,2,lever,True
secureframe,2,lever,True
sesame,2,lever,True
shieldai,3,lever,True
sonatype,3,lever,True
sprucesystems,4,lever,False
stackblitz,1,lever,True
tinybird,1,lever,True
uvcyber,5,lever,False
unify,3,lever,True
veeva,3,lever,True
veo,1,lever,True
verygoodsecurity,5,lever,False
wmg,2,lever,True
wealthfront,4,lever,False
weride,2,lever,True
whereby,3,lever,True
wingtra-2,1,lever,True
wpromote,5,lever,False
yuno,4,lever,False
zoox,3,lever,True
zopa,3,lever,True
getzuma,4,lever,False
zushealth,3,lever,True
